name=[com.datastax.driver.core.PreparedStatementHelper.assertHashWithKeyspace#3#com.datastax.driver.core.PreparedStatement#java.lang.String#java.lang.String], declaringLine=[68], LOC=[13]
name=[org.apache.cassandra.audit.AuditLogEntry$Builder.appendToOperation#1#java.lang.String], declaringLine=[298], LOC=[9]
name=[org.apache.cassandra.audit.AuditLogEntry$Builder.build#0], declaringLine=[315], LOC=[4]
name=[org.apache.cassandra.audit.AuditLogEntry$Builder.setBatch#1#java.util.UUID], declaringLine=[254], LOC=[4]
name=[org.apache.cassandra.audit.AuditEvent.getSource#0], declaringLine=[56], LOC=[3]
name=[org.apache.cassandra.audit.AuditLogEntry$Builder.setKeyspace#1#java.lang.String], declaringLine=[274], LOC=[4]
name=[org.apache.cassandra.audit.AuditLogEntry$Builder.setKeyspace#1#org.apache.cassandra.cql3.CQLStatement], declaringLine=[280], LOC=[4]
name=[org.apache.cassandra.audit.AuditLogEntry$Builder.setKeyspace#2#org.apache.cassandra.service.QueryState#org.apache.cassandra.cql3.CQLStatement], declaringLine=[266], LOC=[6]
name=[org.apache.cassandra.audit.AuditLogEntry$Builder.setOperation#1#java.lang.String], declaringLine=[292], LOC=[4]
name=[org.apache.cassandra.audit.AuditLogEntry$Builder.setOptions#1#org.apache.cassandra.cql3.QueryOptions], declaringLine=[309], LOC=[4]
name=[org.apache.cassandra.audit.AuditLogEntry$Builder.setScope#1#org.apache.cassandra.cql3.CQLStatement], declaringLine=[286], LOC=[4]
name=[org.apache.cassandra.audit.AuditLogEntry$Builder.setTimestamp#1#long], declaringLine=[260], LOC=[4]
name=[org.apache.cassandra.audit.AuditLogEntry$Builder.setType#1#org.apache.cassandra.audit.AuditLogEntryType], declaringLine=[236], LOC=[4]
name=[org.apache.cassandra.audit.AuditLogEntry$Builder.setUser#1#java.lang.String], declaringLine=[248], LOC=[4]
name=[org.apache.cassandra.audit.AuditLogEntry.getBatch#0], declaringLine=[133], LOC=[3]
name=[org.apache.cassandra.audit.AuditLogEntry.getHost#0], declaringLine=[108], LOC=[3]
name=[org.apache.cassandra.audit.AuditLogEntry.getLogString#0], declaringLine=[74], LOC=[32]
name=[org.apache.cassandra.audit.AuditLogEntry.getOperation#0], declaringLine=[148], LOC=[3]
name=[org.apache.cassandra.audit.AuditLogEntry.getOptions#0], declaringLine=[153], LOC=[3]
name=[org.apache.cassandra.audit.AuditLogEntry.getScope#0], declaringLine=[143], LOC=[3]
name=[org.apache.cassandra.audit.AuditLogEntry.getSource#0], declaringLine=[113], LOC=[3]
name=[org.apache.cassandra.audit.AuditLogEntry.getState#0], declaringLine=[158], LOC=[3]
name=[org.apache.cassandra.audit.AuditLogEntry.getKeyspace#0], declaringLine=[138], LOC=[3]
name=[org.apache.cassandra.audit.AuditLogEntry.getTimestamp#0], declaringLine=[123], LOC=[3]
name=[org.apache.cassandra.audit.AuditLogEntry.getUser#0], declaringLine=[118], LOC=[3]
name=[org.apache.cassandra.audit.AuditLogFilter.create#1#org.apache.cassandra.audit.AuditLogOptions], declaringLine=[53], LOC=[11]
name=[org.apache.cassandra.audit.AuditLogFilter.isFiltered#1#org.apache.cassandra.audit.AuditLogEntry], declaringLine=[135], LOC=[5]
name=[org.apache.cassandra.audit.AuditLogEntry.getType#0], declaringLine=[128], LOC=[3]
name=[org.apache.cassandra.audit.AuditLogFilter.isFiltered#3#java.lang.String#java.util.Set#java.util.Set], declaringLine=[154], LOC=[6]
name=[org.apache.cassandra.audit.AuditLogFilter.loadInputSets#2#java.lang.String#java.lang.String], declaringLine=[70], LOC=[42]
name=[org.apache.cassandra.audit.AuditLogManager.authFailure#2#org.apache.cassandra.service.QueryState#java.lang.Exception], declaringLine=[374], LOC=[6]
name=[org.apache.cassandra.audit.AuditLogManager.authSuccess#1#org.apache.cassandra.service.QueryState], declaringLine=[366], LOC=[6]
name=[org.apache.cassandra.audit.AuditLogManager.batchFailure#7#org.apache.cassandra.cql3.statements.BatchStatement$Type#java.util.List#java.util.List#java.util.List#org.apache.cassandra.cql3.QueryOptions#org.apache.cassandra.service.QueryState#java.lang.Exception], declaringLine=[305], LOC=[8]
name=[org.apache.cassandra.audit.AuditLogManager.batchSuccess#8#org.apache.cassandra.cql3.statements.BatchStatement$Type#java.util.List#java.util.List#java.util.List#org.apache.cassandra.cql3.QueryOptions#org.apache.cassandra.service.QueryState#long#org.apache.cassandra.transport.Message$Response], declaringLine=[296], LOC=[7]
name=[org.apache.cassandra.audit.AuditLogManager.buildEntriesForBatch#5#java.util.List#java.util.List#org.apache.cassandra.service.QueryState#org.apache.cassandra.cql3.QueryOptions#long], declaringLine=[315], LOC=[30]
name=[org.apache.cassandra.audit.AuditLogManager.disableAuditLog#0], declaringLine=[174], LOC=[6], synchronized=[true]
name=[org.apache.cassandra.audit.AuditLogManager.enable#1#org.apache.cassandra.audit.AuditLogOptions], declaringLine=[187], LOC=[31], synchronized=[true]
name=[org.apache.cassandra.audit.AuditLogManager.executeFailure#5#org.apache.cassandra.cql3.CQLStatement#java.lang.String#org.apache.cassandra.cql3.QueryOptions#org.apache.cassandra.service.QueryState#java.lang.Exception], declaringLine=[274], LOC=[20]
name=[org.apache.cassandra.audit.AuditLogManager.executeSuccess#6#org.apache.cassandra.cql3.CQLStatement#java.lang.String#org.apache.cassandra.cql3.QueryOptions#org.apache.cassandra.service.QueryState#long#org.apache.cassandra.transport.Message$Response], declaringLine=[262], LOC=[10]
name=[org.apache.cassandra.audit.AuditLogManager.getAuditLogOptions#0], declaringLine=[121], LOC=[3]
name=[org.apache.cassandra.audit.AuditLogManager.getAuditLogOptionsData#0], declaringLine=[127], LOC=[3]
name=[org.apache.cassandra.audit.AuditLogManager.getLogger#0], declaringLine=[111], LOC=[3]
name=[org.apache.cassandra.audit.AuditLogManager.getAuditLogger#1#org.apache.cassandra.audit.AuditLogOptions], declaringLine=[98], LOC=[10]
name=[org.apache.cassandra.audit.AuditLogManager.initialize#0], declaringLine=[89], LOC=[7]
name=[org.apache.cassandra.audit.AuditLogManager.isEnabled#0], declaringLine=[116], LOC=[3]
name=[org.apache.cassandra.audit.AuditLogManager.log#1#org.apache.cassandra.audit.AuditLogEntry], declaringLine=[136], LOC=[6]
name=[org.apache.cassandra.audit.AuditLogManager.log#3#org.apache.cassandra.audit.AuditLogEntry#java.lang.Exception#java.util.List], declaringLine=[149], LOC=[20]
name=[org.apache.cassandra.audit.AuditLogManager.obfuscatePasswordInformation#2#java.lang.Exception#java.util.List], declaringLine=[382], LOC=[13]
name=[org.apache.cassandra.audit.AuditLogManager.prepareFailure#4#org.apache.cassandra.cql3.CQLStatement#java.lang.String#org.apache.cassandra.service.QueryState#java.lang.Exception], declaringLine=[357], LOC=[7]
name=[org.apache.cassandra.audit.AuditLogManager.prepareSuccess#5#org.apache.cassandra.cql3.CQLStatement#java.lang.String#org.apache.cassandra.service.QueryState#long#org.apache.cassandra.transport.messages.ResultMessage$Prepared], declaringLine=[347], LOC=[8]
name=[org.apache.cassandra.audit.AuditLogManager.log#2#org.apache.cassandra.audit.AuditLogEntry#java.lang.Exception], declaringLine=[144], LOC=[3]
name=[org.apache.cassandra.audit.AuditLogManager.queryFailure#5#org.apache.cassandra.cql3.CQLStatement#java.lang.String#org.apache.cassandra.cql3.QueryOptions#org.apache.cassandra.service.QueryState#java.lang.Exception], declaringLine=[254], LOC=[6]
name=[org.apache.cassandra.audit.AuditLogManager.querySuccess#6#org.apache.cassandra.cql3.CQLStatement#java.lang.String#org.apache.cassandra.cql3.QueryOptions#org.apache.cassandra.service.QueryState#long#org.apache.cassandra.transport.Message$Response], declaringLine=[242], LOC=[10]
name=[org.apache.cassandra.audit.AuditLogManager.registerAsListener#0], declaringLine=[230], LOC=[4]
name=[org.apache.cassandra.audit.AuditLogManager.unregisterAsListener#0], declaringLine=[236], LOC=[4]
name=[org.apache.cassandra.audit.AuditLogManager.updateAuditLogOptions#2#org.apache.cassandra.audit.AuditLogOptions#org.apache.cassandra.audit.AuditLogFilter], declaringLine=[220], LOC=[8]
name=[org.apache.cassandra.audit.AuditLogManagerMBean.getAuditLogOptionsData#0], declaringLine=[28], LOC=[0], abstract=[true], implementors=[1]
name=[org.apache.cassandra.audit.AuditLogOptions$Builder.build#0], declaringLine=[225], LOC=[23]
name=[org.apache.cassandra.audit.AuditLogOptions$Builder.withArchiveCommand#1#java.lang.String], declaringLine=[180], LOC=[7]
name=[org.apache.cassandra.audit.AuditLogOptions$Builder.withAuditLogDir#1#java.lang.String], declaringLine=[168], LOC=[4]
name=[org.apache.cassandra.audit.AuditLogOptions$Builder.sanitise#1#java.lang.String], declaringLine=[250], LOC=[10]
name=[org.apache.cassandra.audit.AuditLogOptions$Builder.withBlock#1#java.lang.Boolean], declaringLine=[189], LOC=[7]
name=[org.apache.cassandra.audit.AuditLogOptions$Builder.withEnabled#1#boolean], declaringLine=[115], LOC=[4]
name=[org.apache.cassandra.audit.AuditLogOptions$Builder.withExcludedCategories#1#java.lang.String], declaringLine=[150], LOC=[4]
name=[org.apache.cassandra.audit.AuditLogOptions$Builder.withExcludedKeyspaces#1#java.lang.String], declaringLine=[138], LOC=[4]
name=[org.apache.cassandra.audit.AuditLogOptions$Builder.withExcludedUsers#1#java.lang.String], declaringLine=[162], LOC=[4]
name=[org.apache.cassandra.audit.AuditLogOptions$Builder.withIncludedCategories#1#java.lang.String], declaringLine=[144], LOC=[4]
name=[org.apache.cassandra.audit.AuditLogOptions$Builder.withIncludedUsers#1#java.lang.String], declaringLine=[156], LOC=[4]
name=[org.apache.cassandra.audit.AuditLogOptions$Builder.withLogger#2#java.lang.String#java.util.Map], declaringLine=[121], LOC=[9]
name=[org.apache.cassandra.audit.AuditLogOptions$Builder.withIncludedKeyspaces#1#java.lang.String], declaringLine=[132], LOC=[4]
name=[org.apache.cassandra.audit.AuditLogOptions$Builder.withMaxArchiveRetries#1#int], declaringLine=[207], LOC=[7]
name=[org.apache.cassandra.audit.AuditLogOptions$Builder.withMaxLogSize#1#long], declaringLine=[198], LOC=[7]
name=[org.apache.cassandra.audit.AuditLogOptions$Builder.withMaxQueueWeight#1#int], declaringLine=[216], LOC=[7]
name=[org.apache.cassandra.audit.AuditLogOptions$Builder.withRollCycle#1#java.lang.String], declaringLine=[174], LOC=[4]
name=[org.apache.cassandra.audit.AuditLogOptions.toString#0], declaringLine=[286], LOC=[19]
name=[org.apache.cassandra.audit.AuditLogOptions.validate#1#org.apache.cassandra.audit.AuditLogOptions], declaringLine=[59], LOC=[12]
name=[org.apache.cassandra.audit.AuditLogOptions.validateCategories#1#java.lang.String], declaringLine=[263], LOC=[21]
name=[org.apache.cassandra.audit.AuditLogOptionsCompositeData$AuditLogOption.option#5#java.lang.String#java.lang.String#javax.management.openmbean.OpenType#java.util.function.Function#java.util.function.BiConsumer], declaringLine=[79], LOC=[7]
name=[org.apache.cassandra.audit.AuditLogOptionsCompositeData.fromCompositeData#1#javax.management.openmbean.CompositeData], declaringLine=[218], LOC=[13]
name=[org.apache.cassandra.audit.AuditLogOptionsCompositeData.toCompositeData#1#org.apache.cassandra.audit.AuditLogOptions], declaringLine=[199], LOC=[17]
name=[org.apache.cassandra.audit.BinAuditLogger$Message.type#0], declaringLine=[113], LOC=[3]
name=[org.apache.cassandra.audit.BinAuditLogger$Message.release#0], declaringLine=[125], LOC=[3]
name=[org.apache.cassandra.audit.BinAuditLogger$Message.version#0], declaringLine=[108], LOC=[3]
name=[org.apache.cassandra.audit.BinAuditLogger$Message.weight#0], declaringLine=[131], LOC=[3]
name=[org.apache.cassandra.audit.BinAuditLogger$Message.writeMarshallablePayload#1#net.openhft.chronicle.wire.WireOut], declaringLine=[119], LOC=[3]
name=[org.apache.cassandra.audit.BinAuditLogger.isEnabled#0], declaringLine=[81], LOC=[3]
name=[org.apache.cassandra.audit.BinAuditLogger.log#1#org.apache.cassandra.audit.AuditLogEntry], declaringLine=[87], LOC=[8]
name=[org.apache.cassandra.audit.DiagnosticEventAuditLogger.isEnabled#0], declaringLine=[37], LOC=[3]
name=[org.apache.cassandra.audit.BinAuditLogger.stop#0], declaringLine=[63], LOC=[16], synchronized=[true]
name=[org.apache.cassandra.audit.DiagnosticEventAuditLogger.stop#0], declaringLine=[42], LOC=[3]
name=[org.apache.cassandra.audit.FileAuditLogger.isEnabled#0], declaringLine=[41], LOC=[3]
name=[org.apache.cassandra.audit.FileAuditLogger.log#1#org.apache.cassandra.audit.AuditLogEntry], declaringLine=[47], LOC=[5]
name=[org.apache.cassandra.audit.FileAuditLogger.stop#0], declaringLine=[55], LOC=[3]
name=[org.apache.cassandra.audit.DiagnosticEventAuditLogger.log#1#org.apache.cassandra.audit.AuditLogEntry], declaringLine=[32], LOC=[3]
name=[org.apache.cassandra.audit.IAuditLogger.isEnabled#0], declaringLine=[23], LOC=[0], abstract=[true], implementors=[4]
name=[org.apache.cassandra.audit.IAuditLogger.log#1#org.apache.cassandra.audit.AuditLogEntry], declaringLine=[29], LOC=[0], abstract=[true], implementors=[4]
name=[org.apache.cassandra.audit.IAuditLogger.stop#0], declaringLine=[35], LOC=[0], abstract=[true], implementors=[4]
name=[org.apache.cassandra.audit.NoOpAuditLogger.isEnabled#0], declaringLine=[33], LOC=[3]
name=[org.apache.cassandra.audit.NoOpAuditLogger.log#1#org.apache.cassandra.audit.AuditLogEntry], declaringLine=[39], LOC=[3]
name=[org.apache.cassandra.auth.AllowAllAuthenticator$Negotiator.evaluateResponse#1#byte[]], declaringLine=[63], LOC=[3]
name=[org.apache.cassandra.audit.NoOpAuditLogger.stop#0], declaringLine=[45], LOC=[3]
name=[org.apache.cassandra.auth.AllowAllAuthenticator$Negotiator.getAuthenticatedUser#0], declaringLine=[73], LOC=[3]
name=[org.apache.cassandra.auth.AllowAllAuthenticator$Negotiator.isComplete#0], declaringLine=[68], LOC=[3]
name=[org.apache.cassandra.auth.AllowAllAuthenticator.newSaslNegotiator#1#java.net.InetAddress], declaringLine=[50], LOC=[3]
name=[org.apache.cassandra.auth.AllowAllAuthenticator.protectedResources#0], declaringLine=[37], LOC=[3]
name=[org.apache.cassandra.auth.AllowAllAuthenticator.requireAuthentication#0], declaringLine=[32], LOC=[3]
name=[org.apache.cassandra.auth.AllowAllAuthenticator.setup#0], declaringLine=[46], LOC=[2]
name=[org.apache.cassandra.auth.AllowAllAuthenticator.validateConfiguration#0], declaringLine=[42], LOC=[2]
name=[org.apache.cassandra.auth.AllowAllAuthorizer.authorize#2#org.apache.cassandra.auth.AuthenticatedUser#org.apache.cassandra.auth.IResource], declaringLine=[31], LOC=[3]
name=[org.apache.cassandra.auth.AllowAllAuthenticator.legacyAuthenticate#1#java.util.Map], declaringLine=[55], LOC=[3]
name=[org.apache.cassandra.auth.AllowAllAuthorizer.grant#4#org.apache.cassandra.auth.AuthenticatedUser#java.util.Set#org.apache.cassandra.auth.IResource#org.apache.cassandra.auth.RoleResource], declaringLine=[36], LOC=[3]
name=[org.apache.cassandra.auth.AllowAllAuthorizer.list#4#org.apache.cassandra.auth.AuthenticatedUser#java.util.Set#org.apache.cassandra.auth.IResource#org.apache.cassandra.auth.RoleResource], declaringLine=[54], LOC=[3]
name=[org.apache.cassandra.auth.AllowAllAuthorizer.protectedResources#0], declaringLine=[59], LOC=[3]
name=[org.apache.cassandra.auth.AllowAllAuthorizer.revoke#4#org.apache.cassandra.auth.AuthenticatedUser#java.util.Set#org.apache.cassandra.auth.IResource#org.apache.cassandra.auth.RoleResource], declaringLine=[41], LOC=[3]
name=[org.apache.cassandra.auth.AllowAllAuthorizer.revokeAllFrom#1#org.apache.cassandra.auth.RoleResource], declaringLine=[46], LOC=[2]
name=[org.apache.cassandra.auth.AllowAllAuthorizer.revokeAllOn#1#org.apache.cassandra.auth.IResource], declaringLine=[50], LOC=[2]
name=[org.apache.cassandra.auth.AllowAllAuthorizer.setup#0], declaringLine=[68], LOC=[2]
name=[org.apache.cassandra.auth.AllowAllAuthorizer.validateConfiguration#0], declaringLine=[64], LOC=[2]
name=[org.apache.cassandra.auth.AllowAllAuthorizer.requireAuthorization#0], declaringLine=[26], LOC=[3]
name=[org.apache.cassandra.auth.AllowAllInternodeAuthenticator.authenticate#2#java.net.InetAddress#int], declaringLine=[28], LOC=[3]
name=[org.apache.cassandra.auth.AllowAllNetworkAuthorizer.authorize#1#org.apache.cassandra.auth.RoleResource], declaringLine=[28], LOC=[3]
name=[org.apache.cassandra.auth.AllowAllNetworkAuthorizer.drop#1#org.apache.cassandra.auth.RoleResource], declaringLine=[38], LOC=[0]
name=[org.apache.cassandra.auth.AllowAllInternodeAuthenticator.validateConfiguration#0], declaringLine=[33], LOC=[2]
name=[org.apache.cassandra.auth.AllowAllNetworkAuthorizer.requireAuthorization#0], declaringLine=[43], LOC=[3]
name=[org.apache.cassandra.auth.AllowAllNetworkAuthorizer.setup#0], declaringLine=[26], LOC=[0]
name=[org.apache.cassandra.auth.AllowAllNetworkAuthorizer.validateConfiguration#0], declaringLine=[40], LOC=[0]
name=[org.apache.cassandra.auth.AuthCache$BulkLoader.bulkLoader#0], declaringLine=[439], LOC=[3]
name=[org.apache.cassandra.auth.AuthCache.awaitTermination#2#long#java.util.concurrent.TimeUnit], declaringLine=[399], LOC=[3]
name=[org.apache.cassandra.auth.AuthCache.get#1#java.lang.Object], declaringLine=[225], LOC=[6]
name=[org.apache.cassandra.auth.AuthCache.getActiveUpdate#0], declaringLine=[305], LOC=[3]
name=[org.apache.cassandra.auth.AuthCache.getAll#0], declaringLine=[209], LOC=[6]
name=[org.apache.cassandra.auth.AuthCache.getEstimatedSize#0], declaringLine=[319], LOC=[3]
name=[org.apache.cassandra.auth.AllowAllNetworkAuthorizer.setRoleDatacenters#2#org.apache.cassandra.auth.RoleResource#org.apache.cassandra.auth.DCPermissions], declaringLine=[33], LOC=[3]
name=[org.apache.cassandra.auth.AuthCache.getMaxEntries#0], declaringLine=[300], LOC=[3]
name=[org.apache.cassandra.auth.AuthCache.getUpdateInterval#0], declaringLine=[282], LOC=[3]
name=[org.apache.cassandra.auth.AuthCache.getValidity#0], declaringLine=[264], LOC=[3]
name=[org.apache.cassandra.auth.AuthCache.init#0], declaringLine=[187], LOC=[6]
name=[org.apache.cassandra.auth.AuthCache.initCache#1#com.github.benmanes.caffeine.cache.LoadingCache], declaringLine=[331], LOC=[47]
name=[org.apache.cassandra.auth.AuthCache.getObjectName#0], declaringLine=[200], LOC=[3]
name=[org.apache.cassandra.auth.AuthCache.invalidate#0], declaringLine=[236], LOC=[3], synchronized=[true]
name=[org.apache.cassandra.auth.AuthCache.isTerminated#0], declaringLine=[381], LOC=[3]
name=[org.apache.cassandra.auth.AuthCache.setActiveUpdate#1#boolean], declaringLine=[310], LOC=[7], synchronized=[true]
name=[org.apache.cassandra.auth.AuthCache.setMaxEntries#1#int], declaringLine=[291], LOC=[7], synchronized=[true]
name=[org.apache.cassandra.auth.AuthCache.setUpdateInterval#1#int], declaringLine=[273], LOC=[7], synchronized=[true]
name=[org.apache.cassandra.auth.AuthCache.setValidity#1#int], declaringLine=[255], LOC=[7], synchronized=[true]
name=[org.apache.cassandra.auth.AuthCache.shutdown#0], declaringLine=[387], LOC=[3]
name=[org.apache.cassandra.auth.AuthCache.shutdownAllAndWait#2#long#java.util.concurrent.TimeUnit], declaringLine=[68], LOC=[3]
name=[org.apache.cassandra.auth.AuthCache.shutdownNow#0], declaringLine=[393], LOC=[3]
name=[org.apache.cassandra.auth.AuthCache.invalidate#1#java.lang.Object], declaringLine=[245], LOC=[4]
name=[org.apache.cassandra.auth.AuthCache.unregisterMBean#0], declaringLine=[195], LOC=[3]
name=[org.apache.cassandra.auth.AuthCache.warm#0], declaringLine=[404], LOC=[24]
name=[org.apache.cassandra.auth.AuthCacheMBean.getActiveUpdate#0], declaringLine=[37], LOC=[0], abstract=[true], implementors=[1]
name=[org.apache.cassandra.auth.AuthCacheMBean.getEstimatedSize#0], declaringLine=[41], LOC=[0], abstract=[true], implementors=[1]
name=[org.apache.cassandra.auth.AuthCacheMBean.getMaxEntries#0], declaringLine=[35], LOC=[0], abstract=[true], implementors=[1]
name=[org.apache.cassandra.auth.AuthCacheMBean.getUpdateInterval#0], declaringLine=[31], LOC=[0], abstract=[true], implementors=[1]
name=[org.apache.cassandra.auth.AuthCacheMBean.getValidity#0], declaringLine=[27], LOC=[0], abstract=[true], implementors=[1]
name=[org.apache.cassandra.auth.AuthCacheMBean.invalidate#0], declaringLine=[23], LOC=[0], abstract=[true], implementors=[1]
name=[org.apache.cassandra.auth.AuthCacheMBean.setActiveUpdate#1#boolean], declaringLine=[39], LOC=[0], abstract=[true], implementors=[1]
name=[org.apache.cassandra.auth.AuthCacheMBean.setMaxEntries#1#int], declaringLine=[33], LOC=[0], abstract=[true], implementors=[1]
name=[org.apache.cassandra.auth.AuthCacheMBean.setUpdateInterval#1#int], declaringLine=[29], LOC=[0], abstract=[true], implementors=[1]
name=[org.apache.cassandra.auth.AuthCacheMBean.setValidity#1#int], declaringLine=[25], LOC=[0], abstract=[true], implementors=[1]
name=[org.apache.cassandra.auth.AuthCacheService.initializeAndRegisterCaches#0], declaringLine=[72], LOC=[7]
name=[org.apache.cassandra.auth.AuthCacheService.register#1#org.apache.cassandra.auth.AuthCache], declaringLine=[41], LOC=[4], synchronized=[true]
name=[org.apache.cassandra.auth.AuthCacheService.unregister#1#org.apache.cassandra.auth.AuthCache], declaringLine=[47], LOC=[4], synchronized=[true]
name=[org.apache.cassandra.auth.AuthConfig.applyAuth#0], declaringLine=[39], LOC=[77]
name=[org.apache.cassandra.auth.AuthCacheService.warmCaches#0], declaringLine=[53], LOC=[7], synchronized=[true]
name=[org.apache.cassandra.auth.AuthEvents$Listener.authFailure#2#org.apache.cassandra.service.QueryState#java.lang.Exception], declaringLine=[84], LOC=[0], abstract=[true], implementors=[1]
name=[org.apache.cassandra.auth.AuthEvents.listenerCount#0], declaringLine=[40], LOC=[3]
name=[org.apache.cassandra.auth.AuthEvents$Listener.authSuccess#1#org.apache.cassandra.service.QueryState], declaringLine=[83], LOC=[0], abstract=[true], implementors=[1]
name=[org.apache.cassandra.auth.AuthEvents.notifyAuthFailure#2#org.apache.cassandra.service.QueryState#java.lang.Exception], declaringLine=[68], LOC=[11]
name=[org.apache.cassandra.auth.AuthEvents.registerListener#1#org.apache.cassandra.auth.AuthEvents$Listener], declaringLine=[45], LOC=[3]
name=[org.apache.cassandra.auth.AuthEvents.unregisterListener#1#org.apache.cassandra.auth.AuthEvents$Listener], declaringLine=[50], LOC=[3]
name=[org.apache.cassandra.auth.AuthKeyspace.metadata#0], declaringLine=[113], LOC=[5]
name=[org.apache.cassandra.auth.AuthEvents.notifyAuthSuccess#1#org.apache.cassandra.service.QueryState], declaringLine=[55], LOC=[11]
name=[org.apache.cassandra.auth.AuthProperties.getReadConsistencyLevel#0], declaringLine=[66], LOC=[3]
name=[org.apache.cassandra.auth.AuthProperties.getWriteConsistencyLevel#0], declaringLine=[56], LOC=[3]
name=[org.apache.cassandra.auth.AuthProperties.setReadConsistencyLevel#1#org.apache.cassandra.db.ConsistencyLevel], declaringLine=[61], LOC=[3]
name=[org.apache.cassandra.auth.AuthKeyspace.parse#3#java.lang.String#java.lang.String#java.lang.String], declaringLine=[104], LOC=[7]
name=[org.apache.cassandra.auth.AuthProperties.setWriteConsistencyLevel#1#org.apache.cassandra.db.ConsistencyLevel], declaringLine=[51], LOC=[3]
name=[org.apache.cassandra.auth.AuthPropertiesMXBean.getReadConsistencyLevel#0], declaringLine=[26], LOC=[0], abstract=[true], implementors=[1]
name=[org.apache.cassandra.auth.AuthPropertiesMXBean.setReadConsistencyLevel#1#org.apache.cassandra.db.ConsistencyLevel], declaringLine=[25], LOC=[0], abstract=[true], implementors=[1]
name=[org.apache.cassandra.auth.AuthPropertiesMXBean.setWriteConsistencyLevel#1#org.apache.cassandra.db.ConsistencyLevel], declaringLine=[27], LOC=[0], abstract=[true], implementors=[1]
name=[org.apache.cassandra.auth.AuthSchemaChangeListener.onDropAggregate#1#org.apache.cassandra.cql3.functions.UDAggregate], declaringLine=[54], LOC=[4]
name=[org.apache.cassandra.auth.AuthSchemaChangeListener.onDropFunction#1#org.apache.cassandra.cql3.functions.UDFunction], declaringLine=[47], LOC=[4]
name=[org.apache.cassandra.auth.AuthPropertiesMXBean.getWriteConsistencyLevel#0], declaringLine=[28], LOC=[0], abstract=[true], implementors=[1]
name=[org.apache.cassandra.auth.AuthSchemaChangeListener.onDropTable#2#org.apache.cassandra.schema.TableMetadata#boolean], declaringLine=[41], LOC=[3]
name=[org.apache.cassandra.auth.AuthenticatedUser.canLogin#0], declaringLine=[132], LOC=[3]
name=[org.apache.cassandra.auth.AuthenticatedUser.equals#1#java.lang.Object], declaringLine=[156], LOC=[11]
name=[org.apache.cassandra.auth.AuthenticatedUser.getName#0], declaringLine=[62], LOC=[3]
name=[org.apache.cassandra.auth.AuthenticatedUser.getPermissions#1#org.apache.cassandra.auth.IResource], declaringLine=[121], LOC=[3]
name=[org.apache.cassandra.auth.AuthenticatedUser.getPrimaryRole#0], declaringLine=[67], LOC=[3]
name=[org.apache.cassandra.auth.AuthSchemaChangeListener.onDropKeyspace#2#org.apache.cassandra.schema.KeyspaceMetadata#boolean], declaringLine=[33], LOC=[5]
name=[org.apache.cassandra.auth.AuthenticatedUser.getRoleDetails#0], declaringLine=[116], LOC=[3]
name=[org.apache.cassandra.auth.AuthenticatedUser.hasLocalAccess#0], declaringLine=[144], LOC=[3]
name=[org.apache.cassandra.auth.AuthenticatedUser.hashCode#0], declaringLine=[170], LOC=[3]
